tiempo_s,duty,pulsos_por_segundo
16.82488,0.4,-648.962
16.84492,0.4,-598.683
16.86499,0.4,-647.668
16.88503,0.4,-648.703
16.9051,0.4,-697.628
16.92516,0.4,-647.927
16.94518,0.4,-649.48
16.9652,0.4,-649.48
16.98521,0.4,-699.58
17.00522,0.4,-649.61
17.02523,0.4,-649.61
17.04529,0.4,-698.045
17.06529,0.4,-649.87
17.08536,0.4,-697.489
17.10538,0.4,-699.44
17.12544,0.4,-648.185
17.14544,0.4,-700
17.16544,0.4,-699.72
17.1855,0.4,-648.185
17.20552,0.4,-699.301
17.22558,0.4,-697.906
17.2456,0.4,-699.161
17.26562,0.4,-699.58
17.28565,0.4,-698.882
17.30568,0.4,-649.091
17.32571,0.4,-698.742
17.34571,0.4,-700
17.36578,0.4,-697.489
17.38585,0.4,-697.767
17.40591,0.4,-747.608
17.42593,0.4,-699.58
17.44593,0.4,-699.86
17.46596,0.4,-699.021
17.48599,0.4,-698.742
17.50601,0.4,-699.58
17.52601,0.4,-699.86
17.54604,0.4,-699.021
17.56609,0.4,-698.045
17.58614,0.4,-748.204
17.60621,0.4,-697.489
17.62623,0.4,-699.44
17.64627,0.4,-698.603
17.66634,0.4,-747.31
17.68637,0.4,-698.882
17.70637,0.4,-700
17.72639,0.4,-699.301
17.7464,0.4,-749.7
17.76642,0.4,-699.301
17.78649,0.4,-697.628
17.80652,0.4,-748.802
17.82659,0.4,-697.489
17.84663,0.4,-698.882
17.86668,0.4,-747.757
17.88672,0.4,-698.882
17.90676,0.4,-698.603
17.9268,0.4,-748.204
17.94685,0.4,-698.324
17.96686,0.4,-749.7
17.98692,0.4,-697.767
18.00694,0.4,-699.58
18.02699,0.4,-747.906
18.04705,0.4,-698.045
18.06707,0.4,-749.251
18.08714,0.4,-697.628
18.10716,0.4,-699.161
18.12716,0.4,-750
18.14723,0.4,-697.628
18.16727,0.4,-748.354
18.18734,0.4,-697.628
18.20738,0.4,-748.354
18.22745,0.4,-697.628
18.24748,0.4,-748.802
18.26755,0.4,-697.628
18.28758,0.4,-699.021
18.30764,0.4,-747.906
18.32766,0.4,-699.161
18.34767,0.4,-749.7
18.36768,0.4,-699.58
18.38775,0.4,-747.608
18.40781,0.4,-697.628
18.42782,0.4,-749.7
18.44783,0.4,-699.86
18.46786,0.4,-748.503
18.4879,0.4,-698.603
18.50798,0.4,-747.161
18.528,0.4,-699.161
18.54805,0.4,-748.204
18.5681,0.4,-698.324
18.58817,0.4,-747.459
